aircraft_id,aircraft_type,manufacturing_year,total_flight_hours,cycles_completed,current_status,location,last_maintenance_date,next_scheduled_maintenance,maintenance_score,utilization_rate,fuel_efficiency_rating
AC001,Boeing 737-800,2018,12450,8950,Active,LAX,2025-06-01,2025-09-01,8.7,0.85,B+
AC002,Boeing 737-800,2019,11250,7850,Active,JFK,2025-06-18,2025-09-18,9.1,0.82,A-
AC003,Airbus A330-300,2017,18750,6250,Active,LHR,2025-06-11,2025-10-11,8.5,0.88,B+
AC004,Airbus A330-300,2018,17950,6450,Active,LAX,2025-06-20,2025-09-20,8.9,0.86,A-
AC005,Boeing 777-300ER,2016,22350,5850,Active,JFK,2025-06-26,2025-07-26,7.8,0.91,B
AC006,Boeing 777-300ER,2017,21650,5950,Active,CDG,2025-07-01,2025-10-01,8.6,0.89,B+
AC007,Airbus A350-900,2020,8950,3850,Active,LAX,2025-07-06,2025-11-06,9.4,0.83,A
AC008,Airbus A350-900,2020,9250,3950,Active,NRT,2025-07-10,2025-10-10,9.2,0.84,A
AC009,Boeing 787-9,2019,14850,4850,Active,JFK,2025-07-16,2025-08-16,8.3,0.87,A-
AC010,Boeing 787-9,2019,15250,4950,Active,DXB,2025-07-20,2025-10-20,8.8,0.88,A-
AC011,Airbus A330-300,2016,19850,6850,Maintenance,SYD,2025-07-05,2026-01-05,7.5,0.00,B
AC012,Airbus A330-300,2017,18950,6550,Active,LAX,2025-07-26,2025-11-26,8.2,0.85,B+
AC013,Boeing 737-800,2018,13250,9250,Active,JFK,2025-08-01,2025-11-01,8.6,0.83,B+
AC014,Boeing 737-800,2019,12850,8850,Active,FRA,2025-08-06,2025-09-06,8.9,0.81,A-
AC015,Boeing 777-200ER,2015,25850,7250,Active,LAX,2025-08-10,2025-11-10,7.4,0.89,B
AC016,Boeing 777-200ER,2016,24950,7150,Active,ICN,2025-08-16,2025-12-16,7.8,0.87,B
AC017,Boeing 737-900ER,2017,14850,9850,Active,JFK,2025-08-20,2025-11-20,8.4,0.82,B+
AC018,Boeing 737-900ER,2018,13950,9250,Active,BCN,2025-08-26,2025-09-26,8.7,0.84,A-
AC019,Airbus A320neo,2021,6850,4250,Grounded,LAX,2025-08-31,2025-09-15,6.2,0.00,A
AC020,Airbus A320neo,2021,7250,4450,Active,AMS,2025-08-08,2025-12-08,9.0,0.78,A
AC021,Boeing 737-800,2018,12950,9150,Active,JFK,2025-09-01,2025-12-01,8.5,0.81,B+
AC022,Boeing 737-800,2019,11850,8350,Active,ZUR,2025-08-22,2025-12-22,8.8,0.79,A-
AC023,Airbus A319,2014,18950,12850,Active,LAX,2025-08-31,2025-09-30,7.6,0.76,B
AC024,Airbus A319,2015,17850,12250,Active,YVR,2025-08-12,2025-12-12,7.9,0.78,B+
AC025,Embraer E175,2017,9850,8950,Active,JFK,2025-08-13,2025-11-13,8.2,0.74,A-
AC026,Embraer E175,2018,8950,8250,Active,BOS,2025-08-14,2025-11-14,8.6,0.76,A-
AC027,Airbus A220-300,2020,5850,4150,Active,LAX,2025-08-15,2025-11-15,9.1,0.72,A
AC028,Airbus A220-300,2021,4950,3650,Active,SFO,2025-08-16,2026-01-16,9.3,0.74,A
AC029,Boeing 737-700,2016,15850,11250,Active,JFK,2025-08-17,2026-02-17,7.8,0.77,B+
AC030,Boeing 737-700,2017,14950,10850,Active,MIA,2025-08-18,2026-01-18,8.1,0.79,B+
AC031,Airbus A320,2013,22850,14850,Active,LAX,2025-08-19,2026-01-19,7.2,0.82,B
AC032,Airbus A320,2014,21950,14250,Active,DEN,2025-08-20,2026-02-20,7.5,0.84,B
AC033,Boeing 737-800,2018,13850,9650,Active,JFK,2025-08-21,2026-01-21,8.3,0.80,B+
AC034,Boeing 737-800,2019,12750,8950,Active,ATL,2025-08-22,2026-03-22,8.7,0.82,A-
AC035,Airbus A319,2015,17250,11850,Active,LAX,2025-08-23,2026-02-23,7.7,0.75,B+
AC036,Airbus A319,2016,16350,11450,Active,PHX,2025-08-24,2026-02-24,8.0,0.77,B+
AC037,Embraer E175,2018,8250,7650,Active,JFK,2025-08-25,2026-02-25,8.4,0.73,A-
AC038,Embraer E175,2019,7350,6950,Active,ORD,2025-08-26,2026-03-26,8.8,0.75,A-
AC039,Boeing 737-700,2017,14250,10450,Active,LAX,2025-08-27,2026-03-27,7.9,0.76,B+
AC040,Boeing 737-700,2018,13350,9850,Active,SEA,2025-08-28,2026-02-28,8.2,0.78,B+
