alert_id,aircraft_id,alert_type,severity,timestamp,description,predicted_failure_date,confidence_score,recommended_action,cost_estimate,affected_systems,maintenance_window
ALT001,AC005,Engine Overheating,Critical,2025-08-28 14:50:00,Engine 3 temperature exceeding critical threshold with oil pressure drop,2025-08-29,0.95,Immediate grounding and engine inspection required,85000,Engine 3; Oil System; Cooling System,24 hours
ALT002,AC015,Vibration Anomaly,Critical,2025-08-28 15:35:00,Engine 3 showing excessive vibration patterns indicating bearing failure,2025-08-30,0.89,Ground aircraft and replace engine bearings,65000,Engine 3; Mounting System,48 hours
ALT003,AC002,Temperature Warning,Warning,2025-08-28 14:35:00,Engine 2 operating at elevated temperature - monitoring required,2025-09-05,0.72,Schedule enhanced cooling system inspection,12000,Engine 2; Cooling System,8 hours
ALT004,AC009,Hydraulic Pressure Drop,Warning,2025-08-28 15:10:00,Main hydraulic system pressure below optimal range,2025-09-10,0.68,Inspect hydraulic seals and fluid levels,18500,Main Hydraulic System,12 hours
ALT005,AC019,System Malfunction,Critical,2025-08-28 13:45:00,Multiple system failures detected - aircraft grounded,2025-08-29,0.92,Comprehensive systems diagnostic required,125000,Electrical; Hydraulic; Navigation,72 hours
ALT006,AC031,Fuel Efficiency Drop,Warning,2025-08-28 16:00:00,Fuel consumption 15% above normal parameters,2025-09-15,0.65,Engine performance analysis and fuel system check,22000,Fuel System; Engine Management,16 hours
ALT007,AC024,Landing Gear Issue,Warning,2025-08-28 16:05:00,Landing gear retraction time exceeding normal parameters,2025-09-08,0.71,Inspect landing gear hydraulics and actuators,28000,Landing Gear System; Hydraulics,20 hours
ALT008,AC037,Communication Failure,Warning,2025-08-28 16:10:00,Intermittent radio communication system failures,2025-09-12,0.63,Replace communication module and antenna system,15500,Communication System; Avionics,6 hours
ALT009,AC012,Tire Wear Alert,Warning,2025-08-28 16:15:00,Main landing gear tires showing accelerated wear patterns,2025-09-20,0.58,Schedule tire replacement during next maintenance,8500,Landing Gear; Tire Assembly,4 hours
ALT010,AC028,APU Performance,Warning,2025-08-28 16:20:00,Auxiliary Power Unit showing decreased efficiency,2025-09-18,0.69,APU service and performance optimization,19500,APU System; Electrical Generation,14 hours
ALT011,AC033,Brake System Alert,Warning,2025-08-28 16:25:00,Brake system temperature sensors indicating elevated heat,2025-09-25,0.61,Brake system inspection and cooling enhancement,24500,Brake System; Landing Gear,18 hours
ALT012,AC006,Cabin Pressure Trend,Warning,2025-08-28 16:30:00,Gradual decline in cabin pressurization efficiency,2025-10-01,0.67,Environmental control system maintenance,32000,Environmental Control; Pressurization,24 hours
ALT013,AC040,Navigation Drift,Warning,2025-08-28 16:35:00,Navigation system showing minor drift in positioning accuracy,2025-09-22,0.59,Recalibrate navigation systems and update software,11000,Navigation System; GPS,8 hours
ALT014,AC021,Oil Filter Clog,Warning,2025-08-28 16:40:00,Engine oil filter showing signs of premature clogging,2025-09-14,0.73,Replace oil filter and analyze oil contamination,6500,Engine Lubrication; Filtration,6 hours
ALT015,AC018,Electrical Load,Warning,2025-08-28 16:45:00,Electrical system operating at higher than normal load,2025-09-28,0.62,Electrical system load analysis and component check,17500,Electrical System; Generator,12 hours
ALT016,AC025,Fuel Pump Pressure,Warning,2025-08-28 16:50:00,Fuel pump pressure fluctuations detected during climb,2025-09-16,0.70,Fuel pump inspection and pressure regulator check,21000,Fuel System; Pump Assembly,16 hours
ALT017,AC035,Flap Actuator Slow,Warning,2025-08-28 16:55:00,Wing flap actuator response time increasing gradually,2025-10-05,0.64,Flap system maintenance and actuator lubrication,13500,Flight Control; Flap System,10 hours
ALT018,AC014,Cabin Temperature,Warning,2025-08-28 17:00:00,Cabin temperature control system showing minor irregularities,2025-09-30,0.56,Air conditioning system inspection and calibration,16000,Environmental Control; HVAC,12 hours
ALT019,AC026,Cargo Door Seal,Warning,2025-08-28 17:05:00,Cargo door seal showing signs of gradual deterioration,2025-10-10,0.66,Replace cargo door seals during scheduled maintenance,9500,Cargo System; Door Seals,8 hours
ALT020,AC030,Autopilot Drift,Warning,2025-08-28 17:10:00,Autopilot system showing minor altitude maintenance drift,2025-09-26,0.60,Autopilot system recalibration and sensor check,14500,Autopilot; Flight Control,14 hours
